S1M1	S2M1	S3M1	S4M1	S5M1	S6M1	S7M1	S8M1	S1M2	S2M2	S3M2	S4M2	S5M2	S6M2	S7M2	S8M2	S1M3	S2M3	S3M3	S4M3	S5M3	S6M3	S7M3	S8M3	S1M4	S2M4	S3M4	S4M4	S5M4	S6M4	S7M4	S8M4	S1M5	S2M5	S3M5	S4M5	S5M5	S6M5	S7M5	S8M5	S1M6	S2M6	S3M6	S4M6	S5M6	S6M6	S7M6	S8M6	S1M7	S2M7	S3M7	S4M7	S5M7	S6M7	S7M7	S8M7	S1M8	S2M8	S3M8	S4M8	S5M8	S6M8	S7M8	S8M8	y
13	2	-2	-6	-18	-22	-6	-1	2	-5	-9	-5	25	53	3	1	5	2	2	4	-9	-8	-5	18	5	-1	-1	5	5	-29	-9	-9	-10	-6	-3	0	13	8	-2	6	16	5	0	0	-16	-55	-4	-9	-12	-7	-4	-6	-6	26	5	-8	-3	-4	-2	2	18	12	-2	-2	ok
-7	2	-1	-3	4	-41	-21	-43	-5	-16	8	22	-30	44	34	4	-14	-7	-4	6	32	21	-16	14	-2	6	7	-5	-23	13	32	2	42	13	-2	-10	-12	-14	0	24	-17	-22	-3	11	-10	10	-21	-5	-15	4	6	9	-4	-16	34	-1	-23	-10	-14	-5	29	-24	-10	3	ok
-12	-19	-6	-3	-1	11	-13	18	2	-1	1	-8	-5	-35	-11	-1	-6	-2	-2	-4	13	-6	-8	-18	19	11	4	0	-36	13	12	42	5	4	-1	-5	-3	-54	3	-7	-6	-6	2	15	17	32	10	-21	4	1	-4	-1	-33	-80	-8	14	-16	1	1	2	16	4	21	-18	ok
7	5	3	2	19	-55	22	21	23	-2	-2	-8	-1	44	9	-19	6	18	1	9	0	-49	-10	-26	14	4	-1	0	19	-6	-20	26	-19	-9	-10	-28	2	24	-9	-16	15	-8	2	15	-32	-19	22	22	3	3	5	1	-18	-49	-8	-7	11	1	-1	3	14	32	24	6	papel
-1	0	-4	-5	-9	-19	-4	-4	-5	0	1	1	17	-5	-15	25	0	-2	-1	-2	0	28	9	1	-1	-1	-2	2	8	-30	-19	-3	-1	-3	-1	0	-7	5	3	0	-9	8	-2	-6	-7	-28	-11	-24	3	6	4	5	9	24	9	4	0	-6	-1	-5	-5	-18	4	2	ok
-4	0	-2	1	5	-21	-5	-1	1	-3	0	-2	-5	35	-8	-2	0	-1	-2	-9	-12	-15	8	0	-1	-1	1	4	14	-27	3	-4	-4	-5	-5	-13	-19	-54	-9	-2	1	3	2	9	30	97	4	-1	-11	-7	-2	-2	-4	-38	-13	-7	2	2	2	-4	-13	-29	2	4	ok
-5	2	1	-3	-33	-31	-2	-2	18	-1	-1	-2	19	11	2	13	-3	-5	-4	-3	-7	26	-3	-18	-17	1	1	0	-14	-53	-1	-3	11	2	-1	1	6	1	-2	-1	-11	-5	-5	-3	21	41	-2	-7	5	1	6	7	3	-42	-1	3	-15	0	-2	0	10	20	1	0	tijeras
-26	-4	13	4	19	4	15	-39	20	-15	-5	-2	-18	-34	-11	11	45	24	2	-3	11	3	-11	11	-91	1	3	0	-6	-26	13	-3	20	-54	-14	3	19	26	-16	-2	-3	1	-6	-1	-9	-8	-5	4	-10	12	5	-1	-4	-10	6	1	7	9	-1	-1	20	10	-1	-14	papel
3	26	7	0	7	13	-1	7	-12	-28	-3	-3	5	-2	0	-1	-2	6	-6	-4	-13	-20	-3	-10	1	-4	-3	-2	0	3	-3	-3	5	-1	-4	-1	-25	-30	0	-2	1	6	3	5	17	40	3	1	-7	1	-1	-1	-6	-14	-1	-4	0	-5	-2	-8	15	25	3	-3	papel
3	1	-1	-3	-6	-31	0	-1	0	-3	-6	-7	56	90	7	0	-7	3	2	3	-81	-78	-5	-1	5	-5	-5	0	0	1	1	5	-21	-3	-2	1	19	5	-1	-4	36	6	2	1	-14	-13	2	5	-5	-3	-3	-3	29	30	3	0	-4	1	-1	-1	8	11	0	-2	tijeras
-8	-3	-2	-4	8	17	54	16	-1	1	-1	-1	5	22	-20	-10	3	-2	3	9	4	4	11	-4	-9	-3	-3	2	-9	-15	-68	-38	-3	-4	0	-5	-5	-40	-77	-9	9	-1	0	-3	2	18	91	49	-9	-3	-1	1	-1	1	-109	-31	-9	-4	-2	0	-15	-12	102	15	piedra
-3	28	2	-2	12	3	-1	-11	3	2	0	2	7	-2	-4	-32	-19	-23	-2	-1	-27	-50	-10	2	69	18	8	8	11	30	20	20	-73	-8	-5	-5	-14	-21	-7	-10	7	1	2	-1	28	-35	-13	-5	-12	-16	0	2	2	58	2	-6	-3	47	-9	-2	-11	-47	-2	5	papel
14	-3	-7	-9	-13	-19	-5	-4	-6	2	-2	-2	6	28	0	-5	7	5	0	2	0	-12	0	5	0	23	2	-1	-2	-2	-2	-4	3	26	7	-4	-7	12	0	-4	-5	-48	-11	0	17	4	-1	9	-13	-27	-3	-13	-36	-12	3	-9	9	21	3	9	27	-22	-3	-14	papel
2	3	6	6	-2	-3	7	1	-13	-1	-3	-2	-12	-46	-16	8	3	-1	0	2	32	61	11	-1	0	-1	1	-1	-7	-19	-3	-1	1	-7	-4	-3	-2	23	-4	-4	-5	1	2	5	9	22	-6	-10	3	0	-2	-7	-2	-19	9	7	10	2	-1	1	-9	-10	-3	2	ok
-4	1	0	-3	-83	-21	6	-3	-4	-4	-1	0	18	-5	-3	22	-4	-2	-2	-2	26	7	-2	-4	-8	-1	2	5	9	-5	10	-2	0	-4	-5	-10	9	24	1	-1	15	-1	-1	0	11	8	2	-2	-10	-2	-1	2	23	-21	1	7	-17	-5	-6	-4	-13	31	-1	-8	tijeras
0	-2	-1	-1	19	33	-1	7	17	16	3	-2	-2	0	-5	-11	8	-4	-6	-3	-4	-46	-15	5	-30	-9	-5	-7	-11	-13	-7	-9	13	36	2	5	28	45	-26	14	35	18	15	3	-17	-60	-8	-35	7	-10	11	15	9	58	9	32	-10	-13	-6	-6	-4	65	14	0	papel
67	-4	-5	5	2	38	7	2	-14	-5	-6	2	17	18	-49	-14	-16	8	0	-3	-7	-6	126	28	-26	-3	-4	-7	-5	7	7	-4	10	-6	-4	11	-14	-25	-58	-32	-8	-11	-6	-20	-8	-26	-113	17	22	-23	-6	6	8	19	-117	-8	-26	2	-6	-2	-27	-36	36	2	piedra
-29	-2	1	-4	-20	10	4	-7	15	2	1	7	8	-1	-5	3	-2	0	1	-5	-33	-24	0	18	-7	0	1	1	0	-15	0	-2	-13	-4	-6	-5	-2	-3	-6	-8	1	0	-3	-1	1	20	-1	0	-10	-2	-5	-2	16	16	0	-10	4	2	-2	-4	14	13	3	4	tijeras
-10	-1	-3	-4	7	-2	0	-4	16	2	-3	1	38	47	4	-8	-4	-5	-7	-7	41	67	4	8	-7	4	6	5	-38	-66	-2	5	-14	-3	0	0	-11	-11	-2	-14	16	7	-1	0	-17	-14	1	5	38	-1	-4	0	21	7	0	7	-14	-6	-4	-5	28	62	0	5	tijeras
-31	4	-3	5	1	0	-36	-10	28	0	1	-3	-5	-14	-58	-13	16	6	-7	5	24	16	76	21	4	1	10	-3	-3	12	-8	-17	-9	5	-2	-7	-18	-9	-3	-13	-6	-12	2	-3	-5	-13	20	18	-16	7	-3	2	15	-8	-29	-11	19	2	-5	-19	-12	-2	-29	-8	piedra
-15	20	4	-5	6	-34	-24	-7	28	-3	-7	3	-5	9	42	0	-24	4	0	-3	2	22	-9	0	-16	-21	-2	1	-11	-9	22	6	0	4	-1	4	5	-2	-37	-2	-10	13	-5	-17	-19	-16	-7	-9	3	-13	-3	-5	-3	-21	33	12	-2	-24	-12	-1	6	4	-30	-5	piedra
8	2	5	7	33	14	-4	-16	-3	23	-2	-5	-22	7	5	-7	-7	-3	-13	-4	23	9	-3	-11	9	-33	15	8	-11	11	6	17	6	8	3	-1	-13	-20	-11	-6	-10	13	4	4	1	14	13	-9	-20	-15	-11	-4	-5	-14	-18	16	17	10	-8	-7	25	42	18	-4	papel
3	-4	-3	-2	16	23	-2	-4	-22	-2	-1	1	-3	-22	0	-1	6	3	0	2	-24	-19	0	3	-9	-3	-3	-2	41	13	1	-4	2	2	1	0	-19	-14	-2	-2	-9	-1	0	0	1	-2	-4	-1	11	-3	-4	-6	3	-7	-1	2	-7	0	3	1	3	-7	-1	-5	tijeras
-33	-63	-11	-2	34	22	-5	-26	-1	1	-2	1	-50	-39	-1	7	-8	15	2	5	39	-2	-5	0	7	-17	-3	-3	-1	38	5	-12	6	18	3	-2	5	-3	-6	-2	2	1	-5	-9	-24	-23	-2	6	-3	19	-1	-5	-9	0	6	-6	-3	-42	-1	3	18	-1	-8	-1	papel
2	28	4	5	-44	-26	5	-14	2	-23	-2	-4	0	20	-9	-6	-2	-35	-2	-1	-13	3	1	-6	-1	-12	-11	-1	39	10	-3	-9	38	11	4	5	3	-4	7	6	-2	48	11	4	-31	-23	5	-1	-25	-72	-31	-6	27	22	-12	-3	-4	0	21	8	7	34	4	-21	papel
10	6	-2	-7	-8	11	-2	9	-23	-23	-6	-2	19	-26	-4	-16	13	2	2	8	12	58	7	-3	6	1	6	10	-3	-10	5	7	-13	-23	4	2	2	3	-8	-2	12	4	-3	-4	-7	-6	-3	4	-3	6	-6	-12	-5	-30	-3	2	6	4	-2	-6	-7	12	3	6	papel
-4	2	2	6	1	-2	2	-3	-1	-1	0	2	-17	-1	-16	-3	12	1	1	-6	32	-5	9	4	-20	-3	-4	-9	-23	3	-7	-2	-25	0	3	0	-2	-4	0	8	-9	-4	-5	5	-7	-3	-36	-34	69	3	-3	-6	11	-1	44	21	-9	-1	1	1	6	17	18	6	piedra
2	-2	-4	-3	41	41	0	-6	-3	5	10	6	-46	-60	1	-4	-12	-3	-1	-2	3	4	-1	5	-12	-2	1	1	-8	-5	-3	-10	9	-1	0	1	11	8	1	5	-9	-5	-5	-6	32	36	-4	-8	14	2	3	2	-9	-21	-1	1	-25	1	-1	-2	-6	4	-1	-7	tijeras
8	-33	-8	6	-21	-24	7	-12	-1	-14	-18	-7	22	24	-20	1	-23	9	9	-10	-21	12	-4	-5	13	17	-3	1	-2	-14	8	29	-24	-17	4	9	7	1	37	12	45	-7	-4	1	-4	-8	-11	19	-29	8	3	13	11	-19	-53	-53	26	-16	-3	-21	-14	-21	14	2	piedra
6	-1	-5	-2	-9	-8	-1	-8	-16	-5	-2	-6	14	30	3	7	-20	0	3	8	-6	-31	-3	2	52	2	-2	0	-22	-4	-4	-5	-22	-1	-3	-4	53	30	6	28	15	0	1	3	-35	-15	4	-1	-13	2	-1	-4	-3	0	1	-4	-22	-6	1	11	27	1	0	-5	tijeras
3	-5	-4	0	27	79	11	-32	17	14	9	6	-32	-62	5	47	-6	-3	3	5	-5	59	9	2	8	1	-1	1	-10	0	-7	-6	-2	-8	-3	-3	1	-7	-1	-1	-2	-2	-1	-3	10	-21	-9	-14	5	4	-2	-5	-5	-1	-8	-5	-3	0	3	-2	-1	18	5	7	papel
22	-7	-9	-6	26	-4	-38	10	-20	-3	7	8	-13	-4	67	-6	-3	10	-2	-5	-4	-33	-128	-35	-18	-14	-5	-14	-17	-42	-128	-86	37	13	10	20	34	85	116	98	-17	-12	-10	-7	1	-2	-118	-24	-4	-1	6	9	15	30	117	11	-22	10	2	-2	16	32	-41	-6	piedra
0	-1	-1	0	18	49	0	2	-6	-2	-2	-2	-14	-13	-10	-18	2	3	0	4	36	37	18	1	0	1	3	-1	-38	-17	-2	-3	6	-1	-1	-1	6	-34	-2	2	-27	-2	1	-3	3	0	9	0	31	0	-3	0	-18	-24	-17	5	-4	-1	-2	-1	-12	5	8	-1	ok
-11	1	-3	5	0	-9	11	4	0	-2	-1	4	-4	-10	-28	9	-2	-5	-4	-9	-13	-16	-68	-14	-1	-3	-3	-15	1	11	66	11	11	3	0	1	-5	6	14	1	-26	0	4	10	6	-6	-11	4	-3	-2	-1	1	2	-6	-25	-18	8	-1	-4	-12	3	1	12	6	piedra
56	9	2	-1	-42	-26	-2	10	12	-3	-1	-2	12	3	-5	0	13	0	-1	2	15	6	2	-1	-9	-4	-3	-6	-4	14	-5	-9	-15	-3	-3	-3	-1	10	-1	-1	5	1	1	4	-15	-22	-1	5	-5	-2	-5	-4	-8	-19	-1	-3	15	0	0	2	-1	1	2	1	tijeras
-15	-7	-3	-8	-4	-4	30	-23	-3	22	9	1	5	1	3	16	11	-11	-4	3	-3	0	-15	3	-25	-4	-5	6	-1	0	-48	-9	-4	6	4	6	-12	-18	-50	-17	-28	-6	1	1	9	-7	47	13	60	13	-10	-25	14	17	85	22	-22	-2	4	1	-1	30	14	5	piedra
9	5	5	2	-18	-33	1	-12	3	-4	-4	-3	5	13	-1	3	-15	-7	-6	-7	26	42	3	-5	2	2	0	-1	-2	-22	0	0	-5	-3	-2	0	29	-2	-2	1	1	2	8	6	-67	-42	0	-8	4	1	2	-1	-11	-4	-2	9	5	-2	-2	-3	6	12	-2	-3	tijeras
4	-18	-3	-13	-26	1	21	-1	-12	-4	0	4	12	3	-9	-2	1	-1	-3	-7	11	0	-7	2	0	-1	-2	-3	-10	-2	1	1	-1	1	0	4	-19	-2	-4	-7	1	0	3	9	22	-1	-17	1	-1	-1	1	-9	-14	-5	22	8	-4	-3	-6	-11	-4	7	23	8	piedra
-3	-7	-13	-11	-14	17	-1	-3	11	7	11	13	-16	-48	1	4	-17	-5	1	-2	-22	-12	-3	-17	-5	0	-3	-3	34	14	1	-1	7	5	0	1	37	33	-1	-9	5	-6	-1	-4	-41	-13	2	1	-7	2	-8	-8	56	41	-2	-1	10	5	8	6	-89	-76	-1	-5	tijeras
-38	20	-1	-6	-4	-26	-4	-3	-3	7	0	-3	-5	-7	1	-1	-2	-11	-2	9	-26	-34	-3	30	-23	-20	-2	2	50	41	-1	-12	3	11	-2	3	-4	9	10	-3	-17	-15	-2	-1	1	15	-14	-12	-6	0	1	-10	-38	-27	-5	-5	24	-17	-2	2	9	-11	5	-3	papel
-1	2	0	-1	0	-31	-8	-3	-5	-1	-4	-8	0	-30	-8	-13	2	-1	-4	-3	9	7	2	18	1	0	1	2	-7	-1	-5	-8	-8	-5	-4	-3	-21	-28	-11	-5	26	1	-4	-4	11	-2	8	33	3	5	10	10	-11	-1	7	-14	5	2	1	3	31	62	11	6	ok
-34	-6	-4	0	16	19	6	15	52	-7	3	-2	-4	8	-13	4	-31	28	2	5	11	13	30	7	8	2	-10	-1	1	24	-3	-15	-6	4	4	-4	-1	-36	-14	-17	-11	8	-1	0	-31	-14	-6	3	7	-23	1	-1	10	16	-6	-21	-27	0	-7	-13	6	28	-10	5	papel
13	-35	-6	-3	14	11	5	-1	25	2	-2	-8	-25	-9	1	5	4	18	7	0	-7	-30	0	5	-25	-2	-15	13	4	0	-3	-30	-17	0	26	2	-2	-21	-13	6	-6	-19	-1	-3	11	33	11	-8	1	8	0	-2	2	-9	-3	0	15	4	-3	-4	-28	-25	-1	13	papel
-8	-5	-7	-29	3	0	-108	12	0	14	12	11	4	2	105	-3	8	-9	0	4	8	-4	-20	-8	9	15	-3	5	16	12	49	-3	-11	-12	6	9	-11	27	39	0	26	-9	-4	1	10	-13	-37	1	-82	4	0	3	-1	-28	-79	-22	96	-7	-10	-9	-28	-40	-115	3	piedra
-6	-2	-16	-11	-15	-5	9	9	-3	-12	0	-1	-15	-17	-8	-10	-3	32	9	2	29	-15	1	6	12	73	11	-3	-41	-24	-4	3	-23	-73	-23	8	47	13	1	-3	11	2	15	10	-10	10	0	-13	-7	-2	-11	-7	-7	-2	1	2	-2	15	17	2	3	-3	-1	3	papel
12	-2	-1	3	-11	-13	-107	-25	20	3	3	3	-7	-1	121	49	-8	-5	-1	-1	4	-4	9	-10	-27	0	-2	3	15	26	-5	29	45	-2	-3	-4	-19	-6	-21	-11	-55	1	2	12	14	-20	-113	-26	69	3	3	5	-9	5	44	3	-17	-1	9	24	-1	-49	-45	16	piedra
-6	-20	-1	-2	-6	-45	-5	-14	-7	14	-4	2	-9	9	0	8	24	25	3	-2	-10	-11	1	0	-10	6	1	1	4	23	3	-6	15	-15	-4	1	1	14	0	11	-10	-34	10	-5	10	5	-2	-3	0	6	7	2	-36	-23	-5	-4	-5	-4	-3	-4	22	-6	2	8	papel
-9	-1	-1	7	1	-8	-23	8	-4	0	1	-1	9	-10	-103	-25	6	1	-2	-3	-1	1	33	2	-4	-1	0	5	-4	2	66	11	8	5	-2	-7	1	17	9	-7	-6	-3	-1	11	-9	-16	-30	8	-8	-1	-3	-6	13	-1	-16	17	26	0	1	3	1	3	-30	-7	piedra
-2	-4	-5	0	37	-3	-5	-7	1	2	2	4	-9	12	18	19	-16	1	1	0	-3	-37	-4	-24	3	2	0	1	0	50	2	7	2	0	0	-2	-1	-8	1	7	-1	-3	-5	-5	-17	-48	-13	-25	3	0	-1	-2	11	30	2	5	0	-1	-1	2	-6	-22	1	9	ok
-13	-3	1	11	-3	5	25	1	-7	1	4	2	13	-3	-22	-4	2	-4	-1	4	-10	-7	-2	10	-8	1	2	-1	11	-6	-8	-31	10	0	-5	-9	-23	3	-2	-1	-9	-3	-5	-19	6	4	-10	1	-1	-1	-4	-5	5	3	50	19	-5	-4	-1	11	-2	0	-21	-2	piedra
-7	-5	-6	-7	47	41	2	-4	-12	1	2	1	-79	-10	0	-6	3	-2	0	-2	51	-1	-1	4	-27	-1	0	1	-32	-19	-4	7	11	1	1	2	-4	-7	-1	5	3	0	-1	-3	30	15	1	-4	2	-6	-5	-4	-2	4	-3	-13	-7	-7	-5	-4	7	28	-4	-4	tijeras
1	0	-1	1	-19	-9	-7	-2	2	-3	0	-2	22	4	-6	2	8	0	-2	-3	-2	-1	-3	5	-10	-4	-3	-5	-30	-15	7	1	-9	-2	-1	3	28	45	-2	-17	9	1	1	1	15	21	9	32	-9	0	-1	-4	-15	-40	-11	-8	-6	1	0	2	-27	35	16	-7	ok
-26	-71	-9	-8	28	49	1	-14	-1	-2	7	11	-24	-30	-2	0	15	5	-4	-4	19	-4	-5	2	-8	2	-4	-9	-20	-17	3	2	-14	11	-1	3	3	-5	1	3	22	54	6	4	38	68	1	-1	-40	-22	4	0	11	21	0	-1	-3	-15	-2	0	-15	-4	0	1	papel
29	-18	-11	4	14	-4	46	14	5	-1	14	-17	-15	34	71	-3	-16	20	-9	-1	2	2	2	7	6	-3	1	12	7	8	-4	-4	17	-24	-11	0	2	-29	-72	-9	-1	10	13	18	-23	-34	-38	13	-24	-10	5	-24	17	-33	43	-58	-10	24	-4	-16	3	62	7	32	piedra
-27	-6	15	16	13	30	4	-26	-3	-5	4	9	18	33	8	2	0	-7	-2	-7	-14	-9	-3	-1	-5	1	-3	-1	-4	-8	-4	-14	12	3	-8	-10	-2	-21	-4	2	-3	-9	-7	-5	1	23	-3	0	-4	19	11	11	21	24	2	-6	8	-13	0	1	-29	-20	-3	-2	papel
15	0	-2	-4	7	-1	-4	2	-13	1	1	2	-68	-65	-1	2	-9	-4	-3	-4	18	4	-1	2	-6	-6	-3	-2	0	0	0	-8	3	-5	-5	-4	17	56	3	1	-3	2	3	0	-16	-32	1	2	4	-1	-3	-1	-1	0	-2	0	-26	-4	0	-3	-12	-2	-3	-5	tijeras
-3	-5	-1	1	-4	2	10	2	-1	-4	-5	-6	-1	0	-22	-7	0	5	3	3	-7	-1	19	8	2	0	3	10	6	1	6	-2	-1	2	-1	-3	6	1	-10	6	-2	0	1	-5	-9	0	8	1	-2	2	2	0	-18	-8	-55	-21	2	5	-1	-10	10	0	-2	12	piedra
36	-16	-15	-14	33	28	-17	7	-4	-3	-7	-6	-10	-24	3	-3	24	25	15	17	8	15	21	2	18	-39	-10	-8	8	-13	5	27	15	36	1	-7	6	36	-15	-24	-2	-18	-5	-2	-3	-4	-1	6	-12	12	0	2	6	-34	-4	18	3	-10	-3	8	-23	38	19	-16	papel
-21	-4	-5	-11	-22	-15	-11	-24	-9	-3	-5	-1	2	-6	-15	-16	2	9	13	36	25	-1	17	14	29	9	-4	-27	4	30	-7	8	-63	-9	-2	1	-2	-9	6	-47	38	5	-6	-13	-17	-24	15	57	22	0	-2	-2	4	27	0	-25	-13	-12	3	14	11	17	-26	8	ok
6	0	0	2	-9	8	-3	1	3	1	-2	-4	13	14	-2	7	-3	-4	-5	-5	-2	-18	-19	-13	7	2	0	-2	10	19	11	-9	1	-1	-2	-1	-18	-40	-2	-7	-4	-3	1	1	20	32	2	4	-21	-2	-3	-3	-25	-15	3	-9	41	3	2	6	4	12	-13	7	ok
-48	-79	6	22	4	-27	-67	-56	8	-48	10	9	14	47	89	68	-17	30	2	2	-4	53	34	1	0	18	-3	19	29	-21	8	19	-19	-22	-3	-23	-22	1	28	-19	6	103	1	-2	-22	4	-128	-44	-44	-95	16	18	3	10	99	39	46	-7	-3	-3	58	-11	49	-6	piedra
3	-3	-1	-1	5	-5	0	2	-26	-5	-2	0	-12	1	0	-8	19	1	-1	-3	12	22	1	4	8	5	0	-1	-27	-29	-2	-2	-16	-5	1	-1	15	-5	-1	-3	3	1	-4	-3	5	0	-2	4	-2	-1	3	2	-5	-6	-5	-4	-5	-3	-3	-3	14	20	0	-1	tijeras
2	-3	-1	1	-5	3	2	-1	-1	2	-1	-5	-2	-7	7	4	-10	1	-1	1	-3	4	-16	-3	-1	-5	-1	-3	0	0	-18	-10	-1	-3	-1	2	-1	-4	-2	-2	3	2	7	17	17	-6	13	14	-11	-5	-7	-31	-18	-7	-34	-26	9	3	0	-6	-7	3	48	14	piedra
6	-1	-1	-3	-5	-33	3	7	-21	-3	-3	-2	24	72	21	-19	16	3	0	-2	-20	-88	-20	9	-1	3	5	12	-8	11	24	3	13	5	3	3	-13	-26	-3	7	1	-1	1	1	4	-1	0	15	-13	-1	1	3	-1	-43	-8	15	-8	-5	-3	-6	12	70	5	-5	ok
31	54	18	40	34	2	-75	-92	26	14	3	-29	10	-35	-31	42	-59	-49	-22	-3	-4	33	70	-8	10	24	3	3	-47	-27	22	21	6	-39	-18	-9	37	36	-27	13	-10	-2	18	50	-10	47	61	-26	22	38	-12	-42	17	-58	-72	-17	-10	28	11	-7	-23	-21	-8	-10	piedra
-3	12	8	12	8	-3	-35	-22	-21	-3	-6	-26	5	9	5	-6	27	28	-15	0	-18	6	-31	-17	-10	5	9	-1	-10	-9	38	-13	16	-36	-1	6	8	-7	-11	16	-19	-6	-4	-4	-26	0	-21	-9	-5	2	-4	-9	50	7	-5	-2	-20	31	5	7	-40	-13	9	-2	piedra
50	10	9	47	-7	32	-12	-41	-5	-2	0	-32	-13	-32	4	-5	15	-5	-25	-69	19	75	8	0	2	3	-1	8	-29	-25	1	-11	0	-3	-1	1	11	26	23	22	-24	-18	-7	9	6	-54	-31	-14	10	9	11	12	-5	-44	6	-6	-5	4	4	5	0	118	16	-25	ok
33	14	6	6	-2	-2	4	19	-3	2	-2	-1	-18	-1	1	-4	-10	-3	-6	-9	15	-12	-12	-19	3	-6	2	3	11	17	2	-3	-12	6	-9	-8	-25	-35	-5	-2	2	3	5	4	32	73	30	1	-2	-10	-1	6	-4	-13	-9	-10	0	-14	-6	-2	2	34	6	14	papel
-11	13	4	1	-10	1	-3	-35	2	-40	-3	-1	3	18	4	35	-7	-6	2	1	11	24	12	-14	2	-8	-2	-3	8	-20	-2	36	-1	12	-2	2	-25	13	1	-4	-4	12	1	-2	-6	-33	-8	-9	-2	-8	-8	-7	-12	-7	-11	-8	9	1	5	-1	12	14	9	1	papel
-11	-1	-2	-6	16	14	1	-4	13	1	0	-1	26	-1	2	-1	-38	-7	-7	-5	25	47	-2	-9	61	6	4	6	-8	-20	1	12	-12	0	0	-1	-24	1	-1	-3	1	-2	-5	1	46	5	-6	3	-11	3	1	-2	-7	2	3	2	0	0	-1	-6	-51	-38	-4	-3	tijeras
4	3	-2	-3	-3	-10	-8	-14	-1	1	3	2	-9	45	11	8	3	-1	2	2	4	-21	-4	-1	9	-1	-3	-6	8	2	0	-3	-14	0	-4	-5	-16	-48	-8	-1	11	1	0	0	1	11	5	1	-7	-1	-1	0	16	32	0	-4	4	0	0	-1	-19	-13	7	3	ok
-38	1	3	7	-29	-38	-7	-12	-9	-7	-4	-5	19	15	0	-4	3	1	-1	1	-31	8	3	10	23	-1	1	-1	20	6	2	3	-35	-5	-1	2	39	1	-5	-15	57	6	0	-1	-11	-1	2	29	4	-3	-6	0	-6	6	3	-1	0	0	-1	-2	12	0	-2	8	tijeras
-20	-2	0	4	33	0	0	1	16	-3	-1	-5	0	19	-1	2	4	1	1	1	-22	-6	-2	-6	15	4	0	0	16	5	2	4	-21	-7	-7	-5	23	23	2	-2	7	8	6	4	-71	-52	2	11	1	-1	-2	-4	-18	-4	-1	-1	-10	-1	-1	0	29	1	-3	-9	tijeras
15	2	1	-1	19	0	1	5	-21	-2	-4	-2	25	27	-4	-20	12	1	2	2	-30	-26	5	14	-17	-9	-2	1	33	27	1	-17	-5	11	-1	0	-6	2	2	11	-2	-11	0	0	12	6	-5	-7	-8	-6	-3	-3	-9	-5	-3	-13	-11	-4	-4	-3	16	24	0	-7	tijeras
4	12	5	3	19	-5	-4	2	-5	-4	-3	-4	-18	-10	0	0	5	-3	-6	-7	-11	-22	-9	0	-7	-3	-1	-1	25	49	13	4	8	1	-1	0	-7	-4	0	6	0	8	5	5	6	-21	15	18	-13	-13	-6	-8	-4	-40	-23	-13	2	0	1	6	1	24	4	9	ok
-16	2	2	13	8	30	113	5	15	1	-3	-13	2	-8	-55	-15	1	0	3	3	4	-2	17	19	-42	-4	0	1	12	12	1	-5	55	-1	-2	6	-15	-19	-69	-10	-9	-4	-8	-16	5	14	18	4	6	0	-1	3	-6	-5	-22	-9	-2	0	2	11	9	-5	36	-12	piedra
-16	-16	3	8	-14	-15	-41	8	4	4	9	3	12	6	10	12	8	24	-3	7	-15	-16	4	-7	-4	5	2	-11	2	-11	-20	-10	-6	10	-8	13	5	16	-12	-10	15	-10	2	12	27	20	32	5	-21	22	5	-7	-23	-7	-14	-2	31	-12	0	-12	-1	11	-1	-6	piedra
56	0	-3	-15	-21	-9	14	7	2	2	0	-5	16	26	34	32	0	-2	-2	-3	1	7	11	-5	-38	-4	0	1	-13	-11	-35	-15	6	0	0	5	19	0	5	-11	24	-2	-5	-6	-11	-4	-20	17	-37	-1	1	5	13	-3	3	-4	48	-1	2	7	-3	6	-4	2	piedra
37	31	1	-4	-17	11	-16	15	-19	-55	-7	-3	12	-16	16	-12	22	37	11	1	6	32	0	4	13	2	-5	1	-18	-22	-4	-9	-22	-32	-2	-3	0	9	-2	-9	-8	-37	-6	-4	6	25	-1	15	-2	-12	-4	5	11	49	18	-2	2	5	5	-15	-2	-23	-15	-11	papel
3	0	-4	-2	1	-15	4	5	-5	0	0	-3	4	0	-13	-10	-3	0	-9	-13	-3	-22	-7	2	-8	-6	4	11	21	8	14	-1	1	0	2	2	-6	10	3	4	7	11	2	-1	-13	-30	-1	2	1	-5	-5	-5	-4	18	-1	5	-7	-12	-1	0	-23	-13	-7	-11	papel
41	0	-6	-8	-5	11	20	5	-7	5	0	7	5	2	-6	-15	-1	-3	-2	-3	-4	-10	-32	10	8	-2	1	-1	-8	-15	-8	-9	-15	1	2	0	-14	43	35	-1	-7	2	-6	-7	21	8	18	-1	-3	5	2	4	-17	-16	-27	2	7	-3	-8	-4	7	1	-12	-3	piedra
-21	-2	-3	-7	-15	-21	-1	-6	3	-1	9	24	17	-13	-17	8	2	-5	-3	-6	14	43	7	-17	-4	-7	-9	-22	-11	-34	-9	6	2	4	9	24	3	-11	-14	-3	6	4	-5	-28	50	56	14	2	-10	-6	-4	-8	-29	-31	-11	-12	-1	-6	-4	-8	6	47	10	3	ok
