status;duration;credit.hist;purpose;credit.amo;savings;employed.time;installment;status.sex;debtors;residence.time;property;age;installment2;housing;num.credits;job;num.people;telephone;foreign;y
0 <=  and < 200 DM;18;existing credits paid back duly till now;radio/television;866;< 100 DM;1 <=  and < 4 years;4;male:married/widowed;guarantor;2;real estate;25;none;own;1;unskilled - resident;1;none;yes;yes
< 0 DM;24;existing credits paid back duly till now;radio/television;1823;< 100 DM;unemployed;4;male:single;none;2;car or other;30;stores;own;1;management/self-employed/;2;none;yes;no
no checking account;12;critical account;radio/television;1291;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;2;building society savings agreement/life insurance;35;none;own;2;skilled employee/official;1;none;yes;yes
< 0 DM;30;existing credits paid back duly till now;radio/television;2522;< 100 DM;>= 7 years;1;male:single;guarantor;3;building society savings agreement/life insurance;39;none;own;1;skilled employee/official;2;none;yes;yes
no checking account;12;all credits at this bank paid back duly;retraining;3447;500 <=  and < 1000 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;3;real estate;35;none;own;1;unskilled - resident;2;none;yes;yes
no checking account;24;existing credits paid back duly till now;business;1258;< 100 DM;4 <=  and < 7 years;4;male:single;none;1;real estate;25;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;6;no credits taken/all credits paid back duly;car (new);1204;100 <=  and < 500 DM;1 <=  and < 4 years;4;male:single;none;1;unknown/no property;35;bank;rent;1;skilled employee/official;1;none;no;yes
>= 200 DM;24;existing credits paid back duly till now;furniture/equipment;1925;< 100 DM;1 <=  and < 4 years;2;male:single;none;2;real estate;26;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;6;critical account;car (new);666;>= 1000 DM;4 <=  and < 7 years;3;female:divorced/separated/married;none;4;real estate;39;none;own;2;unskilled - resident;1;yes;yes;yes
0 <=  and < 200 DM;30;existing credits paid back duly till now;car (new);2150;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;guarantor;2;unknown/no property;24;bank;own;1;skilled employee/official;1;none;yes;no
no checking account;24;delay in paying off in the past;furniture/equipment;4151;100 <=  and < 500 DM;1 <=  and < 4 years;2;male:single;none;3;building society savings agreement/life insurance;35;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;24;critical account;radio/television;2684;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;real estate;35;none;own;2;unskilled - resident;1;none;yes;yes
< 0 DM;12;all credits at this bank paid back duly;radio/television;2149;< 100 DM;1 <=  and < 4 years;4;male:divorced/separated;none;1;unknown/no property;29;none;for free;1;skilled employee/official;1;none;yes;no
no checking account;15;existing credits paid back duly till now;car (used);3812;100 <=  and < 500 DM;< 1 year;1;female:divorced/separated/married;none;4;car or other;23;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;11;critical account;radio/television;1154;100 <=  and < 500 DM;unemployed;4;female:divorced/separated/married;none;4;real estate;57;none;own;3;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;15;existing credits paid back duly till now;radio/television;802;< 100 DM;>= 7 years;4;male:single;none;3;car or other;37;none;own;1;skilled employee/official;2;none;yes;no
no checking account;36;critical account;business;6304;unknown/no savings account;>= 7 years;4;male:single;none;4;real estate;36;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;24;existing credits paid back duly till now;radio/television;999;unknown/no savings account;>= 7 years;4;male:single;none;2;car or other;25;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;18;existing credits paid back duly till now;car (new);2662;unknown/no savings account;4 <=  and < 7 years;4;male:single;none;3;building society savings agreement/life insurance;32;none;own;1;skilled employee/official;1;none;no;yes
no checking account;12;critical account;furniture/equipment;1402;500 <=  and < 1000 DM;4 <=  and < 7 years;3;female:divorced/separated/married;none;4;car or other;37;none;rent;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;48;all credits at this bank paid back duly;car (new);12169;unknown/no savings account;unemployed;4;male:single;co-applicant;4;unknown/no property;36;none;for free;1;management/self-employed/;1;yes;yes;yes
no checking account;9;existing credits paid back duly till now;radio/television;2697;< 100 DM;1 <=  and < 4 years;1;male:single;none;2;real estate;32;none;own;1;skilled employee/official;2;none;yes;yes
no checking account;18;critical account;radio/television;2404;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;2;car or other;26;none;own;2;skilled employee/official;1;none;yes;yes
< 0 DM;12;existing credits paid back duly till now;furniture/equipment;1262;unknown/no savings account;>= 7 years;2;male:divorced/separated;none;4;building society savings agreement/life insurance;49;none;own;1;unskilled - resident;1;yes;yes;yes
no checking account;6;existing credits paid back duly till now;furniture/equipment;4611;< 100 DM;< 1 year;1;female:divorced/separated/married;none;4;building society savings agreement/life insurance;32;none;own;1;skilled employee/official;1;none;yes;no
no checking account;15;critical account;car (used);3368;>= 1000 DM;>= 7 years;3;male:single;none;4;unknown/no property;23;none;rent;2;skilled employee/official;1;yes;yes;yes
>= 200 DM;18;all credits at this bank paid back duly;radio/television;1445;unknown/no savings account;4 <=  and < 7 years;4;male:single;none;4;car or other;49;bank;own;1;unskilled - resident;1;none;yes;yes
no checking account;15;critical account;furniture/equipment;1520;unknown/no savings account;>= 7 years;4;male:single;none;4;building society savings agreement/life insurance;63;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;24;critical account;car (new);3878;100 <=  and < 500 DM;< 1 year;4;male:divorced/separated;none;2;car or other;37;none;own;1;skilled employee/official;1;yes;yes;yes
< 0 DM;47;existing credits paid back duly till now;car (new);10722;< 100 DM;< 1 year;1;female:divorced/separated/married;none;1;real estate;35;none;own;1;unskilled - resident;1;yes;yes;yes
< 0 DM;48;existing credits paid back duly till now;car (used);4788;< 100 DM;4 <=  and < 7 years;4;male:single;none;3;building society savings agreement/life insurance;26;none;own;1;skilled employee/official;2;none;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;radio/television;1092;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;guarantor;4;real estate;49;none;own;2;skilled employee/official;1;yes;yes;yes
< 0 DM;24;delay in paying off in the past;radio/television;1024;< 100 DM;< 1 year;4;male:married/widowed;none;4;real estate;48;stores;own;1;skilled employee/official;1;none;yes;no
< 0 DM;24;critical account;car (used);6419;< 100 DM;>= 7 years;2;female:divorced/separated/married;none;4;unknown/no property;44;none;for free;2;management/self-employed/;2;yes;yes;yes
>= 200 DM;42;critical account;car (used);4796;< 100 DM;>= 7 years;4;male:single;none;4;unknown/no property;56;none;for free;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;48;existing credits paid back duly till now;furniture/equipment;9960;< 100 DM;< 1 year;1;female:divorced/separated/married;none;2;car or other;26;none;own;1;skilled employee/official;1;yes;yes;no
no checking account;10;existing credits paid back duly till now;car (new);1287;unknown/no savings account;>= 7 years;4;male:single;co-applicant;2;building society savings agreement/life insurance;45;none;own;1;unskilled - resident;1;none;no;yes
no checking account;18;existing credits paid back duly till now;furniture/equipment;2515;< 100 DM;1 <=  and < 4 years;3;male:single;none;4;real estate;43;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;21;critical account;furniture/equipment;2745;>= 1000 DM;4 <=  and < 7 years;3;male:single;none;2;car or other;32;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;6;existing credits paid back duly till now;car (new);672;< 100 DM;unemployed;1;female:divorced/separated/married;none;4;real estate;54;none;own;1;unemployed/unskilled - non-resident;1;yes;yes;yes
0 <=  and < 200 DM;36;no credits taken/all credits paid back duly;radio/television;3804;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;1;car or other;42;none;own;1;skilled employee/official;1;yes;yes;no
< 0 DM;10;critical account;car (new);1038;< 100 DM;4 <=  and < 7 years;4;male:single;co-applicant;3;building society savings agreement/life insurance;49;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;48;critical account;car (new);10127;500 <=  and < 1000 DM;1 <=  and < 4 years;2;male:single;none;2;unknown/no property;44;bank;for free;1;skilled employee/official;1;none;yes;no
no checking account;6;existing credits paid back duly till now;furniture/equipment;1543;>= 1000 DM;1 <=  and < 4 years;4;male:divorced/separated;none;2;real estate;33;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;30;existing credits paid back duly till now;car (used);4811;unknown/no savings account;4 <=  and < 7 years;2;female:divorced/separated/married;none;4;building society savings agreement/life insurance;24;stores;rent;1;unskilled - resident;1;none;yes;yes
< 0 DM;12;existing credits paid back duly till now;radio/television;727;100 <=  and < 500 DM;< 1 year;4;male:married/widowed;none;3;unknown/no property;33;none;own;1;unskilled - resident;1;yes;yes;no
0 <=  and < 200 DM;8;existing credits paid back duly till now;furniture/equipment;1237;< 100 DM;1 <=  and < 4 years;3;female:divorced/separated/married;none;4;real estate;24;none;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;9;existing credits paid back duly till now;car (new);276;< 100 DM;1 <=  and < 4 years;4;male:married/widowed;none;4;real estate;22;none;rent;1;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;48;existing credits paid back duly till now;others;5381;unknown/no savings account;unemployed;3;male:single;none;4;unknown/no property;40;bank;for free;1;unemployed/unskilled - non-resident;1;yes;yes;yes
no checking account;24;existing credits paid back duly till now;furniture/equipment;5511;100 <=  and < 500 DM;1 <=  and < 4 years;4;male:single;none;1;car or other;25;stores;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;car (new);685;< 100 DM;4 <=  and < 7 years;2;male:married/widowed;none;3;car or other;25;bank;own;1;unskilled - resident;1;none;yes;no
>= 200 DM;4;existing credits paid back duly till now;car (new);1494;unknown/no savings account;< 1 year;1;male:single;none;2;real estate;29;none;own;1;unskilled - resident;2;none;no;yes
< 0 DM;12;existing credits paid back duly till now;furniture/equipment;708;< 100 DM;1 <=  and < 4 years;2;male:single;guarantor;3;building society savings agreement/life insurance;38;none;own;1;unskilled - resident;2;none;yes;yes
0 <=  and < 200 DM;24;existing credits paid back duly till now;furniture/equipment;4351;unknown/no savings account;1 <=  and < 4 years;1;female:divorced/separated/married;none;4;building society savings agreement/life insurance;48;none;own;1;unskilled - resident;1;yes;yes;yes
no checking account;12;critical account;education;701;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;car or other;32;none;own;2;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;30;critical account;car (new);4249;< 100 DM;unemployed;4;male:married/widowed;none;2;car or other;28;none;own;2;management/self-employed/;1;none;yes;no
< 0 DM;24;existing credits paid back duly till now;radio/television;1938;< 100 DM;< 1 year;4;male:divorced/separated;none;3;building society savings agreement/life insurance;32;none;own;1;skilled employee/official;1;none;yes;no
< 0 DM;24;existing credits paid back duly till now;car (used);2910;< 100 DM;4 <=  and < 7 years;2;male:single;none;1;unknown/no property;34;none;for free;1;management/self-employed/;1;yes;yes;yes
< 0 DM;18;existing credits paid back duly till now;furniture/equipment;2659;>= 1000 DM;1 <=  and < 4 years;4;male:single;none;2;car or other;28;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;18;critical account;car (new);1028;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;3;real estate;36;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;12;critical account;furniture/equipment;5801;unknown/no savings account;>= 7 years;2;male:single;none;4;building society savings agreement/life insurance;49;none;rent;1;skilled employee/official;1;yes;yes;yes
no checking account;24;existing credits paid back duly till now;car (new);1525;>= 1000 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;3;car or other;34;none;own;1;skilled employee/official;2;yes;yes;yes
>= 200 DM;36;existing credits paid back duly till now;radio/television;4473;< 100 DM;>= 7 years;4;male:single;none;2;car or other;31;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;6;existing credits paid back duly till now;radio/television;1068;< 100 DM;>= 7 years;4;male:single;none;4;car or other;28;none;own;1;skilled employee/official;2;none;yes;yes
< 0 DM;24;critical account;car (used);6615;< 100 DM;unemployed;2;male:single;none;4;unknown/no property;75;none;for free;2;management/self-employed/;1;yes;yes;yes
no checking account;48;critical account;car (used);11590;100 <=  and < 500 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;4;car or other;24;bank;rent;2;unskilled - resident;1;none;yes;no
< 0 DM;24;no credits taken/all credits paid back duly;furniture/equipment;4110;< 100 DM;>= 7 years;3;male:single;none;4;unknown/no property;23;bank;rent;2;skilled employee/official;2;none;yes;no
< 0 DM;6;critical account;furniture/equipment;3384;< 100 DM;1 <=  and < 4 years;1;male:divorced/separated;none;4;real estate;44;none;rent;1;management/self-employed/;1;yes;yes;no
< 0 DM;24;existing credits paid back duly till now;furniture/equipment;4169;< 100 DM;1 <=  and < 4 years;4;male:single;none;4;building society savings agreement/life insurance;28;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;24;critical account;education;5743;< 100 DM;< 1 year;2;female:divorced/separated/married;none;4;unknown/no property;24;none;for free;2;skilled employee/official;1;yes;yes;yes
< 0 DM;21;existing credits paid back duly till now;furniture/equipment;3599;< 100 DM;4 <=  and < 7 years;1;female:divorced/separated/married;none;4;car or other;26;none;rent;1;unskilled - resident;1;none;yes;yes
>= 200 DM;10;existing credits paid back duly till now;car (new);3949;< 100 DM;< 1 year;1;male:single;guarantor;1;building society savings agreement/life insurance;37;none;own;1;unskilled - resident;2;none;yes;yes
no checking account;15;critical account;radio/television;1459;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;2;car or other;43;none;own;1;unskilled - resident;1;none;yes;yes
no checking account;6;delay in paying off in the past;business;1743;100 <=  and < 500 DM;1 <=  and < 4 years;1;male:single;none;2;real estate;34;none;own;2;unskilled - resident;1;none;yes;yes
no checking account;9;existing credits paid back duly till now;domestic appliances;1236;< 100 DM;< 1 year;1;female:divorced/separated/married;none;4;real estate;23;none;rent;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;9;existing credits paid back duly till now;furniture/equipment;959;< 100 DM;1 <=  and < 4 years;1;female:divorced/separated/married;none;2;car or other;29;none;own;1;skilled employee/official;1;none;no;no
< 0 DM;12;no credits taken/all credits paid back duly;radio/television;6199;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;building society savings agreement/life insurance;28;none;rent;2;skilled employee/official;1;yes;yes;no
no checking account;10;existing credits paid back duly till now;education;727;500 <=  and < 1000 DM;>= 7 years;4;male:single;none;4;unknown/no property;46;none;for free;1;skilled employee/official;1;yes;yes;yes
no checking account;12;critical account;radio/television;2331;unknown/no savings account;>= 7 years;1;male:single;co-applicant;4;real estate;49;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;36;delay in paying off in the past;radio/television;4463;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;car or other;26;none;own;2;management/self-employed/;1;yes;yes;no
no checking account;12;existing credits paid back duly till now;radio/television;776;< 100 DM;1 <=  and < 4 years;4;male:married/widowed;none;2;real estate;28;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;18;existing credits paid back duly till now;education;1239;unknown/no savings account;1 <=  and < 4 years;4;male:single;none;4;unknown/no property;61;none;for free;1;skilled employee/official;1;none;yes;yes
>= 200 DM;12;existing credits paid back duly till now;radio/television;3399;unknown/no savings account;>= 7 years;2;male:single;none;3;car or other;37;none;own;1;management/self-employed/;1;none;yes;yes
>= 200 DM;12;delay in paying off in the past;car (new);2247;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;2;car or other;36;stores;own;2;skilled employee/official;1;yes;yes;yes
no checking account;6;existing credits paid back duly till now;furniture/equipment;1766;< 100 DM;1 <=  and < 4 years;1;male:married/widowed;none;2;building society savings agreement/life insurance;21;none;rent;1;skilled employee/official;1;none;yes;yes
< 0 DM;18;existing credits paid back duly till now;furniture/equipment;2473;< 100 DM;unemployed;4;male:single;none;1;car or other;25;none;own;1;unemployed/unskilled - non-resident;1;none;yes;no
< 0 DM;18;existing credits paid back duly till now;furniture/equipment;3650;< 100 DM;< 1 year;1;female:divorced/separated/married;none;4;car or other;22;none;rent;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;18;existing credits paid back duly till now;furniture/equipment;3001;< 100 DM;4 <=  and < 7 years;2;female:divorced/separated/married;none;4;real estate;40;none;rent;1;skilled employee/official;1;none;yes;yes
no checking account;36;existing credits paid back duly till now;car (new);3079;unknown/no savings account;1 <=  and < 4 years;4;male:single;none;4;real estate;36;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;60;critical account;car (new);13756;unknown/no savings account;>= 7 years;2;male:single;none;4;unknown/no property;63;bank;for free;1;management/self-employed/;1;yes;yes;yes
0 <=  and < 200 DM;60;all credits at this bank paid back duly;others;14782;100 <=  and < 500 DM;>= 7 years;3;female:divorced/separated/married;none;4;unknown/no property;60;bank;for free;2;management/self-employed/;1;yes;yes;no
< 0 DM;48;all credits at this bank paid back duly;business;7685;< 100 DM;4 <=  and < 7 years;2;female:divorced/separated/married;guarantor;4;car or other;37;none;rent;1;skilled employee/official;1;none;yes;no
no checking account;18;delay in paying off in the past;radio/television;2320;< 100 DM;unemployed;2;male:married/widowed;none;3;real estate;34;none;own;2;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;36;existing credits paid back duly till now;car (new);14318;< 100 DM;>= 7 years;4;male:single;none;2;unknown/no property;57;none;for free;1;management/self-employed/;1;yes;yes;no
no checking account;6;critical account;car (new);362;100 <=  and < 500 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;4;car or other;52;none;own;2;unskilled - resident;1;none;yes;yes
no checking account;22;existing credits paid back duly till now;car (new);1283;unknown/no savings account;4 <=  and < 7 years;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;25;none;rent;1;skilled employee/official;1;none;yes;yes
>= 200 DM;12;existing credits paid back duly till now;car (new);1330;< 100 DM;< 1 year;4;male:single;none;1;real estate;26;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;18;existing credits paid back duly till now;radio/television;1126;unknown/no savings account;< 1 year;4;female:divorced/separated/married;none;2;real estate;21;none;rent;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;18;critical account;furniture/equipment;7374;< 100 DM;unemployed;4;male:single;none;4;building society savings agreement/life insurance;40;stores;own;2;management/self-employed/;1;yes;yes;yes
no checking account;9;existing credits paid back duly till now;business;1449;< 100 DM;4 <=  and < 7 years;3;female:divorced/separated/married;none;2;car or other;27;none;own;2;skilled employee/official;1;none;yes;yes
< 0 DM;6;critical account;radio/television;1957;< 100 DM;4 <=  and < 7 years;1;female:divorced/separated/married;none;4;car or other;31;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;9;critical account;furniture/equipment;2406;< 100 DM;unemployed;2;male:single;none;3;car or other;31;none;own;1;management/self-employed/;1;none;yes;yes
0 <=  and < 200 DM;39;delay in paying off in the past;education;11760;100 <=  and < 500 DM;4 <=  and < 7 years;2;male:single;none;3;unknown/no property;32;none;rent;1;skilled employee/official;1;yes;yes;yes
< 0 DM;12;existing credits paid back duly till now;furniture/equipment;2578;< 100 DM;unemployed;3;female:divorced/separated/married;none;4;unknown/no property;55;none;for free;1;management/self-employed/;1;none;yes;yes
< 0 DM;36;critical account;furniture/equipment;2348;< 100 DM;1 <=  and < 4 years;3;male:married/widowed;none;2;building society savings agreement/life insurance;46;none;own;2;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;car (new);1223;< 100 DM;>= 7 years;1;male:divorced/separated;none;1;real estate;46;none;rent;2;skilled employee/official;1;none;yes;no
no checking account;24;critical account;radio/television;1516;>= 1000 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;1;real estate;43;none;own;2;unskilled - resident;1;none;yes;yes
no checking account;18;existing credits paid back duly till now;radio/television;1473;< 100 DM;< 1 year;3;male:married/widowed;none;4;real estate;39;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;18;critical account;business;1887;unknown/no savings account;1 <=  and < 4 years;4;male:married/widowed;none;4;real estate;28;bank;own;2;skilled employee/official;1;none;yes;yes
no checking account;24;delay in paying off in the past;business;8648;< 100 DM;< 1 year;2;male:single;none;2;car or other;27;bank;own;2;skilled employee/official;1;yes;yes;no
no checking account;14;delay in paying off in the past;car (new);802;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;car or other;27;none;own;2;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;18;delay in paying off in the past;car (new);2899;unknown/no savings account;>= 7 years;4;male:single;none;4;car or other;43;none;own;1;skilled employee/official;2;none;yes;yes
0 <=  and < 200 DM;24;existing credits paid back duly till now;radio/television;2039;< 100 DM;< 1 year;1;male:married/widowed;none;1;building society savings agreement/life insurance;22;none;own;1;skilled employee/official;1;yes;yes;no
< 0 DM;15;existing credits paid back duly till now;radio/television;1053;< 100 DM;< 1 year;4;male:married/widowed;none;2;real estate;27;none;own;1;skilled employee/official;1;none;no;yes
>= 200 DM;12;critical account;car (new);939;500 <=  and < 1000 DM;4 <=  and < 7 years;4;male:married/widowed;none;2;real estate;28;none;own;3;skilled employee/official;1;yes;yes;no
0 <=  and < 200 DM;24;existing credits paid back duly till now;radio/television;1967;< 100 DM;>= 7 years;4;female:divorced/separated/married;none;4;car or other;20;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;12;critical account;business;2292;< 100 DM;unemployed;4;male:single;none;2;car or other;42;stores;own;2;management/self-employed/;1;yes;yes;no
no checking account;10;existing credits paid back duly till now;car (new);1597;500 <=  and < 1000 DM;1 <=  and < 4 years;3;male:single;none;2;unknown/no property;40;none;rent;1;unskilled - resident;2;none;no;yes
< 0 DM;12;existing credits paid back duly till now;car (new);2579;< 100 DM;< 1 year;4;male:single;none;1;real estate;33;none;own;1;unskilled - resident;2;none;yes;no
< 0 DM;18;delay in paying off in the past;education;8471;unknown/no savings account;1 <=  and < 4 years;1;female:divorced/separated/married;none;2;car or other;23;none;rent;2;skilled employee/official;1;yes;yes;yes
no checking account;21;existing credits paid back duly till now;car (new);2782;500 <=  and < 1000 DM;4 <=  and < 7 years;1;female:divorced/separated/married;none;2;car or other;31;bank;own;1;management/self-employed/;1;none;yes;yes
0 <=  and < 200 DM;18;existing credits paid back duly till now;car (new);1042;unknown/no savings account;1 <=  and < 4 years;4;female:divorced/separated/married;none;2;building society savings agreement/life insurance;33;none;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;12;existing credits paid back duly till now;car (used);2028;unknown/no savings account;1 <=  and < 4 years;4;male:single;none;2;car or other;30;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;12;critical account;car (new);958;< 100 DM;4 <=  and < 7 years;2;male:single;none;3;real estate;47;none;own;2;unskilled - resident;2;none;yes;yes
no checking account;21;delay in paying off in the past;furniture/equipment;1591;100 <=  and < 500 DM;4 <=  and < 7 years;4;male:single;none;3;real estate;34;none;own;2;management/self-employed/;1;none;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;furniture/equipment;2762;unknown/no savings account;>= 7 years;1;female:divorced/separated/married;none;2;building society savings agreement/life insurance;25;bank;own;1;skilled employee/official;1;yes;yes;no
no checking account;18;critical account;radio/television;1149;>= 1000 DM;1 <=  and < 4 years;4;male:single;none;3;real estate;46;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;9;existing credits paid back duly till now;furniture/equipment;1313;< 100 DM;>= 7 years;1;male:single;none;4;car or other;20;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;18;critical account;repairs;1190;< 100 DM;unemployed;2;female:divorced/separated/married;none;4;unknown/no property;55;none;for free;3;unemployed/unskilled - non-resident;2;none;yes;no
no checking account;5;existing credits paid back duly till now;business;3448;< 100 DM;4 <=  and < 7 years;1;male:single;none;4;real estate;74;none;own;1;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;24;existing credits paid back duly till now;others;11328;< 100 DM;1 <=  and < 4 years;2;male:single;co-applicant;3;car or other;29;bank;own;2;management/self-employed/;1;yes;yes;no
no checking account;24;critical account;repairs;2058;< 100 DM;1 <=  and < 4 years;4;male:divorced/separated;none;2;real estate;33;none;own;2;skilled employee/official;1;yes;yes;yes
< 0 DM;9;existing credits paid back duly till now;furniture/equipment;2136;< 100 DM;1 <=  and < 4 years;3;male:single;none;2;real estate;25;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;radio/television;1484;unknown/no savings account;1 <=  and < 4 years;2;male:married/widowed;none;1;real estate;25;none;own;1;skilled employee/official;1;yes;yes;no
no checking account;6;existing credits paid back duly till now;repairs;660;500 <=  and < 1000 DM;4 <=  and < 7 years;2;male:married/widowed;none;4;real estate;23;none;rent;1;unskilled - resident;1;none;yes;yes
< 0 DM;42;critical account;repairs;3394;< 100 DM;unemployed;4;male:single;co-applicant;4;car or other;65;none;own;2;unemployed/unskilled - non-resident;1;none;yes;yes
>= 200 DM;12;all credits at this bank paid back duly;business;609;< 100 DM;< 1 year;4;female:divorced/separated/married;none;1;real estate;26;none;own;1;unemployed/unskilled - non-resident;1;none;yes;no
0 <=  and < 200 DM;20;delay in paying off in the past;others;2629;< 100 DM;1 <=  and < 4 years;2;male:single;none;3;car or other;29;bank;own;2;skilled employee/official;1;yes;yes;yes
no checking account;12;existing credits paid back duly till now;education;719;< 100 DM;>= 7 years;4;male:single;none;4;car or other;41;bank;own;1;unskilled - resident;2;none;yes;no
0 <=  and < 200 DM;48;critical account;furniture/equipment;5096;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;3;car or other;30;none;own;1;management/self-employed/;1;yes;yes;no
< 0 DM;36;existing credits paid back duly till now;car (new);1842;< 100 DM;< 1 year;4;female:divorced/separated/married;none;4;car or other;34;none;own;1;skilled employee/official;1;yes;yes;no
0 <=  and < 200 DM;7;existing credits paid back duly till now;radio/television;2576;< 100 DM;1 <=  and < 4 years;2;male:single;guarantor;2;real estate;35;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;6;existing credits paid back duly till now;radio/television;518;< 100 DM;1 <=  and < 4 years;3;female:divorced/separated/married;none;1;real estate;29;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;12;no credits taken/all credits paid back duly;furniture/equipment;2759;< 100 DM;>= 7 years;2;male:single;none;4;building society savings agreement/life insurance;34;none;own;2;skilled employee/official;1;none;yes;yes
< 0 DM;24;existing credits paid back duly till now;car (new);4817;< 100 DM;4 <=  and < 7 years;2;male:single;co-applicant;3;building society savings agreement/life insurance;31;none;own;1;skilled employee/official;1;yes;yes;no
no checking account;24;existing credits paid back duly till now;car (used);2679;< 100 DM;< 1 year;4;female:divorced/separated/married;none;1;unknown/no property;29;none;own;1;management/self-employed/;1;yes;yes;yes
< 0 DM;12;existing credits paid back duly till now;car (used);3386;< 100 DM;>= 7 years;3;male:single;none;4;unknown/no property;35;none;for free;1;skilled employee/official;1;yes;yes;no
< 0 DM;6;existing credits paid back duly till now;domestic appliances;343;< 100 DM;< 1 year;4;female:divorced/separated/married;none;1;real estate;27;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;18;existing credits paid back duly till now;radio/television;4594;< 100 DM;< 1 year;3;male:single;none;2;car or other;32;none;own;1;skilled employee/official;1;yes;yes;yes
< 0 DM;36;existing credits paid back duly till now;furniture/equipment;3620;< 100 DM;1 <=  and < 4 years;1;male:single;guarantor;2;building society savings agreement/life insurance;37;none;own;1;skilled employee/official;2;none;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;furniture/equipment;3017;< 100 DM;< 1 year;3;female:divorced/separated/married;none;1;real estate;34;none;rent;1;management/self-employed/;1;none;yes;yes
no checking account;18;existing credits paid back duly till now;business;1950;< 100 DM;4 <=  and < 7 years;4;male:single;none;1;car or other;34;stores;own;2;skilled employee/official;1;yes;yes;yes
